time,lat,lon,altM
1490142304,-28.627266,153.666436,1211
1490142305,-28.627556,153.666464,1216
1490142305,-28.627835,153.666515,1220
1490142306,-28.628147,153.666623,1225
1490142307,-28.628603,153.666723,1229
1490142307,-28.629129,153.666811,1234
1490142308,-28.629651,153.667007,1238
1490142309,-28.630134,153.667293,1245
1490142310,-28.630639,153.66755,1251
1490142311,-28.631181,153.66773,1255
1490142312,-28.631675,153.667881,1261
1490142314,-28.63236,153.668269,1267
1490142315,-28.632809,153.668477,1274
1490142316,-28.633361,153.668729,1281
1490142317,-28.63387,153.668954,1287
1490142318,-28.634313,153.669187,1294
1490142319,-28.634848,153.669482,1300
1490142320,-28.635328,153.669635,1306
1490142321,-28.635388,153.669639,1314
1490142323,-28.635388,153.669639,1320
1490142325,-28.635388,153.669639,1326
1490142326,-28.635388,153.669639,1332
1490142327,-28.635388,153.669639,1337
1490142328,-28.635388,153.669639,1342
1490142329,-28.635388,153.669639,1348
1490142330,-28.635388,153.669639,1354
1490142331,-28.635388,153.669639,1359
1490142332,-28.635388,153.669639,1364
1490142333,-28.635388,153.669639,1371
1490142334,-28.635388,153.669639,1376
1490142335,-28.635388,153.669639,1383
1490142336,-28.635388,153.669639,1388
1490142337,-28.635388,153.669639,1392
1490142338,-28.635388,153.669639,1397
1490142339,-28.635388,153.669639,1404
1490142340,-28.635388,153.669639,1408
1490142341,-28.635388,153.669639,1414
1490142342,-28.635388,153.669639,1419
1490142343,-28.635388,153.669639,1424
1490142344,-28.635388,153.669639,1429
1490142345,-28.635388,153.669639,1435
1490142346,-28.635388,153.669639,1441
1490142347,-28.635388,153.669639,1447
1490142348,-28.635388,153.669639,1452
1490142349,-28.635388,153.669639,1459
1490142350,-28.635388,153.669639,1464
1490142351,-28.635388,153.669639,1469
1490142352,-28.635388,153.669639,1476
1490142353,-28.635388,153.669639,1482
1490142354,-28.635388,153.669639,1487
1490142355,-28.635388,153.669639,1493
1490142356,-28.635388,153.669639,1498
1490142357,-28.635388,153.669639,1504
1490142358,-28.635388,153.669639,1510
1490142359,-28.635388,153.669639,1516
1490142360,-28.635388,153.669639,1521
1490142361,-28.635388,153.669639,1526
1490142362,-28.635388,153.669639,1531
1490142363,-28.635388,153.669639,1535
1490142364,-28.635388,153.669639,1540
1490142365,-28.635388,153.669639,1545
1490142366,-28.635388,153.669639,1550
1490142367,-28.635388,153.669639,1555
1490142368,-28.635388,153.669639,1558
1490142369,-28.635388,153.669639,1562
1490142370,-28.635388,153.669639,1566
1490142371,-28.635388,153.669639,1570
1490142372,-28.635388,153.669639,1574
1490142373,-28.635388,153.669639,1578
1490142374,-28.635388,153.669639,1582
1490142375,-28.662989,153.674382,1588
1490142375,-28.664005,153.674238,1593
1490142376,-28.664958,153.673991,1598
1490142376,-28.665413,153.673949,1604
1490142377,-28.665722,153.673952,1609
1490142377,-28.666023,153.673976,1616
1490142378,-28.666571,153.674035,1622
1490142379,-28.666965,153.674123,1627
1490142380,-28.667424,153.674233,1633
1490142381,-28.667912,153.674337,1639
1490142382,-28.668358,153.674425,1645
1490142383,-28.66892,153.674536,1650
1490142384,-28.669332,153.674632,1655
1490142385,-28.669783,153.674735,1660
1490142386,-28.670241,153.674842,1667
1490142387,-28.670628,153.674917,1671
1490142388,-28.671223,153.675027,1675
1490142389,-28.671628,153.675087,1680
1490142390,-28.672184,153.675182,1685
1490142391,-28.672682,153.675272,1690
1490142392,-28.673134,153.675368,1695
1490142394,-28.674035,153.67558,1700
1490142395,-28.67451,153.675731,1704
1490142397,-28.674559,153.675744,1709
1490142398,-28.676151,153.676003,1713
1490142399,-28.676848,153.675706,1718
1490142400,-28.677345,153.675607,1724
1490142401,-28.677345,153.675607,1729
1490142402,-28.677345,153.675607,1734
1490142404,-28.677345,153.675607,1739
1490142405,-28.677345,153.675607,1745
1490142406,-28.677345,153.675607,1751
1490142407,-28.677345,153.675607,1760
1490142407,-28.683397,153.67312,1765
1490142408,-28.683929,153.672892,1770
1490142408,-28.684292,153.672803,1776
1490142409,-28.684878,153.672457,1785
1490142409,-28.685306,153.67224,1791
1490142410,-28.685898,153.6721,1796
1490142411,-28.68647,153.672075,1799
1490142412,-28.686974,153.672061,1802
1490142413,-28.687579,153.672058,1807
1490142414,-28.688058,153.672077,1812
1490142415,-28.688634,153.672113,1815
1490142416,-28.689108,153.67214,1820
1490142417,-28.689583,153.672168,1826
1490142418,-28.690111,153.672196,1833
1490142419,-28.690693,153.672223,1837
1490142420,-28.691276,153.672247,1843
1490142421,-28.691753,153.672268,1846
1490142422,-28.692228,153.672288,1850
1490142423,-28.692755,153.672307,1857
1490142424,-28.693337,153.672321,1865
1490142425,-28.693866,153.672318,1873
1490142426,-28.694393,153.672296,1882
1490142427,-28.694919,153.672249,1889
1490142428,-28.695386,153.672192,1897
1490142429,-28.695889,153.672111,1904
1490142430,-28.696386,153.672008,1911
1490142431,-28.696915,153.671876,1916
1490142432,-28.697387,153.671731,1921
1490142433,-28.697856,153.671552,1926
1490142434,-28.69822,153.671398,1929
1490142435,-28.698666,153.67119,1931
1490142436,-28.699145,153.670941,1934
1490142437,-28.699572,153.670698,1939
1490142438,-28.69999,153.670438,1942
1490142439,-28.700323,153.67021,1945
1490142440,-28.700732,153.66991,1949
1490142441,-28.70121,153.669528,1953
1490142442,-28.701559,153.669227,1956
1490142443,-28.70205,153.668771,1960
1490142444,-28.702376,153.668443,1964
1490142445,-28.702692,153.668098,1967
1490142446,-28.703035,153.667688,1971
1490142447,-28.703329,153.667311,1976
1490142448,-28.703638,153.666877,1981
1490142449,-28.703985,153.666337,1987
1490142450,-28.704173,153.666011,1994
1490142451,-28.70445,153.665486,2000
1490142452,-28.704726,153.664896,2007
1490142453,-28.704909,153.664443,2014
1490142454,-28.705108,153.663882,2022
1490142455,-28.705269,153.663366,2027
1490142456,-28.705398,153.662898,2032
1490142457,-28.705499,153.662481,2037
1490142458,-28.70562,153.661906,2040
1490142459,-28.705719,153.66133,2044
1490142460,-28.705788,153.660803,2048
1490142461,-28.705837,153.660381,2051
1490142462,-28.705889,153.659853,2056
1490142463,-28.705918,153.659323,2060
1490142464,-28.705928,153.658687,2064
1490142465,-28.70592,153.658151,2068
1490142466,-28.705885,153.657557,2074
1490142467,-28.705836,153.657069,2079
1490142468,-28.705783,153.656584,2084
1490142469,-28.705723,153.656098,2089
1490142470,-28.705647,153.65556,2095
1490142471,-28.705548,153.654918,2099
1490142472,-28.705477,153.654493,2104
1490142473,-28.705383,153.653962,2109
1490142474,-28.705278,153.653379,2113
1490142475,-28.705174,153.652795,2117
1490142476,-28.705082,153.652264,2121
1490142477,-28.704994,153.651732,2125
1490142478,-28.704911,153.651197,2129
1490142479,-28.704838,153.650715,2133
1490142480,-28.704763,153.650175,2141
1490142481,-28.704697,153.649688,2146
1490142482,-28.704614,153.649091,2152
1490142483,-28.704531,153.648493,2156
1490142484,-28.704469,153.648058,2163
1490142485,-28.704382,153.647463,2169
1490142486,-28.704292,153.646869,2175
1490142487,-28.704208,153.646331,2179
1490142488,-28.704122,153.645795,2186
1490142489,-28.704026,153.645262,2191
1490142490,-28.703941,153.644838,2198
1490142491,-28.703821,153.64426,2202
1490142492,-28.703718,153.643789,2208
1490142493,-28.703573,153.643166,2211
1490142494,-28.703448,153.64265,2215
1490142495,-28.703344,153.642239,2218
1490142496,-28.703193,153.641677,2222
1490142497,-28.703033,153.641116,2225
1490142498,-28.702879,153.640609,2228
1490142499,-28.702715,153.640103,2231
1490142500,-28.702595,153.63975,2235
1490142501,-28.7024,153.639195,2238
1490142502,-28.702233,153.638742,2243
1490142503,-28.70204,153.63824,2246
1490142504,-28.701838,153.63774,2253
1490142505,-28.701629,153.637242,2257
1490142506,-28.701412,153.636746,2263
1490142507,-28.701188,153.636252,2270
1490142508,-28.700959,153.635762,2275
1490142509,-28.700723,153.635274,2281
1490142510,-28.700482,153.634791,2286
1490142511,-28.700261,153.634362,2291
1490142512,-28.70001,153.633889,2296
1490142513,-28.699755,153.633422,2301
1490142514,-28.699497,153.632958,2306
1490142515,-28.699235,153.632497,2311
1490142516,-28.69897,153.632038,2315
1490142517,-28.698703,153.631581,2320
1490142518,-28.698437,153.631124,2325
1490142519,-28.698169,153.630669,2329
1490142520,-28.697901,153.630215,2333
1490142521,-28.697633,153.629761,2338
1490142522,-28.697364,153.629307,2343
1490142522,-28.697123,153.628898,2347
1490142524,-28.696827,153.6284,2352
1490142525,-28.696558,153.627946,2356
1490142525,-28.696315,153.627539,2359
1490142527,-28.696017,153.627042,2363
1490142528,-28.695744,153.626592,2366
1490142529,-28.695471,153.626141,2371
1490142529,-28.695224,153.625736,2374
1490142531,-28.69492,153.62524,2377
1490142532,-28.694642,153.624789,2380
1490142532,-28.694391,153.624383,2383
1490142534,-28.694082,153.623885,2386
1490142534,-28.693828,153.623477,2391
1490142535,-28.693543,153.623023,2396
1490142536,-28.693258,153.622569,2401
1490142538,-28.692941,153.622068,2406
1490142538,-28.69268,153.621658,2411
1490142539,-28.692389,153.621202,2417
1490142540,-28.692097,153.620748,2422
1490142541,-28.691835,153.620339,2426
1490142542,-28.691514,153.61984,2430
1490142543,-28.691224,153.619387,2436
1490142544,-28.690934,153.618935,2442
1490142545,-28.690644,153.618483,2445
1490142546,-28.690354,153.618032,2450
1490142547,-28.690066,153.61758,2455
1490142548,-28.689777,153.61713,2459
1490142549,-28.689487,153.616681,2464
1490142550,-28.689198,153.616232,2469
1490142551,-28.688911,153.615782,2472
1490142552,-28.688624,153.615332,2476
1490142553,-28.688337,153.614881,2481
1490142554,-28.68805,153.61443,2484
1490142555,-28.687763,153.613979,2487
1490142556,-28.687478,153.613527,2492
1490142557,-28.687193,153.613073,2495
1490142558,-28.686936,153.612664,2498
1490142559,-28.686623,153.612162,2501
1490142560,-28.686367,153.611751,2504
1490142561,-28.686081,153.611293,2507
1490142562,-28.685764,153.61079,2511
1490142563,-28.685503,153.610377,2514
1490142564,-28.685182,153.609874,2518
1490142565,-28.684886,153.609417,2522
1490142566,-28.684585,153.608961,2525
1490142567,-28.684311,153.608553,2530
1490142568,-28.683972,153.608055,2533
1490142569,-28.683692,153.607649,2537
1490142570,-28.683378,153.607199,2542
1490142571,-28.68306,153.606751,2546
1490142572,-28.682742,153.606304,2551
1490142573,-28.682421,153.605858,2555
1490142574,-28.682099,153.605414,2561
1490142575,-28.681775,153.604971,2566
1490142576,-28.681451,153.60453,2572
1490142577,-28.681126,153.604089,2577
1490142578,-28.680801,153.60365,2582
1490142579,-28.680477,153.603212,2587
1490142580,-28.680156,153.602774,2592
1490142581,-28.679836,153.602338,2598
1490142582,-28.679519,153.601902,2602
1490142583,-28.679203,153.601466,2606
1490142584,-28.678889,153.601032,2610
1490142585,-28.678576,153.6006,2613
1490142586,-28.678262,153.600168,2616
1490142587,-28.677949,153.599737,2619
1490142588,-28.677638,153.599305,2622
1490142589,-28.677325,153.598873,2625
1490142590,-28.67701,153.59844,2628
1490142591,-28.676694,153.598006,2632
1490142592,-28.676375,153.597571,2635
1490142593,-28.676056,153.597133,2638
1490142594,-28.675736,153.596694,2642
1490142595,-28.675414,153.596253,2647
1490142596,-28.675092,153.595811,2652
1490142597,-28.674769,153.595368,2658
1490142598,-28.674479,153.594967,2664
1490142599,-28.674126,153.594474,2668
1490142600,-28.673842,153.594067,2673
1490142601,-28.67353,153.593612,2678
1490142602,-28.673225,153.593153,2683
1490142603,-28.672928,153.59269,2688
1490142604,-28.672637,153.592222,2692
1490142605,-28.672354,153.59175,2696
1490142606,-28.67205,153.591226,2701
1490142607,-28.671808,153.590795,2705
1490142608,-28.671519,153.590263,2709
1490142609,-28.671288,153.589826,2712
1490142610,-28.671035,153.589339,2716
1490142611,-28.670784,153.588849,2720
1490142612,-28.670536,153.588358,2723
1490142613,-28.67029,153.587865,2726
1490142614,-28.670045,153.58737,2729
1490142615,-28.669802,153.586872,2733
1490142616,-28.66956,153.586373,2736
1490142617,-28.669319,153.585871,2739
1490142618,-28.669079,153.585367,2743
1490142619,-28.668839,153.58486,2746
1490142620,-28.668595,153.584352,2751
1490142621,-28.668348,153.583842,2756
1490142622,-28.6681,153.583332,2761
1490142623,-28.667849,153.582821,2766
1490142624,-28.667597,153.58231,2770
1490142625,-28.667369,153.581851,2776
1490142626,-28.667091,153.58129,2781
1490142627,-28.666865,153.580832,2785
1490142628,-28.66659,153.580271,2789
1490142629,-28.66634,153.579762,2793
1490142630,-28.666089,153.579255,2798
1490142631,-28.665864,153.578799,2801
1490142632,-28.665587,153.578243,2804
1490142633,-28.665359,153.577789,2808
1490142634,-28.665106,153.577284,2811
1490142635,-28.664853,153.576778,2815
1490142636,-28.664598,153.576273,2819
1490142637,-28.664343,153.575766,2823
1490142638,-28.664086,153.575258,2826
1490142639,-28.663828,153.574749,2830
1490142640,-28.66357,153.574239,2834
1490142641,-28.663312,153.573728,2838
1490142642,-28.663053,153.573215,2842
1490142643,-28.662795,153.572701,2847
1490142644,-28.662538,153.572185,2852
1490142645,-28.662282,153.571667,2857
1490142646,-28.662026,153.571148,2863
1490142647,-28.66177,153.570628,2868
1490142648,-28.661516,153.570107,2874
1490142649,-28.661263,153.569586,2879
1490142650,-28.661014,153.569066,2885
1490142651,-28.660769,153.568545,2891
1490142652,-28.660551,153.568076,2895
1490142653,-28.66029,153.567504,2899
1490142654,-28.66008,153.567035,2904
1490142655,-28.659824,153.566464,2908
1490142656,-28.659593,153.565946,2913
1490142657,-28.659363,153.565428,2916
1490142658,-28.659134,153.564911,2919
1490142659,-28.658906,153.564393,2923
1490142660,-28.658679,153.563875,2926
1490142661,-28.658497,153.563459,2930
1490142662,-28.658246,153.562887,2933
1490142663,-28.658017,153.562367,2937
1490142664,-28.65781,153.561898,2940
1490142665,-28.657534,153.561271,2943
1490142666,-28.657326,153.560799,2947
1490142667,-28.657117,153.560326,2951
1490142668,-28.65686,153.559748,2955
1490142669,-28.656625,153.559222,2958
1490142670,-28.656387,153.558695,2963
1490142671,-28.656124,153.558117,2966
1490142672,-28.655883,153.557592,2971
1490142673,-28.65564,153.557066,2974
1490142674,-28.655397,153.556541,2979
1490142675,-28.655153,153.556015,2983
1490142676,-28.654909,153.555489,2988
1490142677,-28.654665,153.554962,2993
1490142678,-28.65442,153.554436,2997
1490142679,-28.654201,153.553962,3002
1490142680,-28.653957,153.553434,3007
1490142681,-28.653738,153.55296,3011
1490142682,-28.653472,153.55238,3016
1490142683,-28.653255,153.551906,3020
1490142684,-28.653013,153.55138,3025
1490142685,-28.652748,153.550802,3030
1490142686,-28.652507,153.550278,3034
1490142687,-28.652242,153.549702,3039
1490142688,-28.652001,153.549179,3044
1490142689,-28.65176,153.548658,3048
1490142690,-28.651518,153.548136,3052
1490142691,-28.6513,153.547668,3056
1490142692,-28.651033,153.547096,3059
1490142693,-28.65079,153.546576,3063
1490142694,-28.650546,153.546056,3068
1490142695,-28.650302,153.545535,3073
1490142696,-28.650054,153.545015,3077
1490142697,-28.649806,153.544494,3083
1490142698,-28.649557,153.543973,3088
1490142699,-28.649332,153.543504,3091
1490142700,-28.649083,153.542982,3097
1490142701,-28.648834,153.542458,3102
1490142702,-28.648611,153.541987,3107
1490142703,-28.648365,153.541462,3113
1490142704,-28.648096,153.540883,3119
1490142705,-28.647854,153.540357,3125
1490142706,-28.647636,153.539885,3131
1490142707,-28.647392,153.539362,3136
1490142708,-28.647122,153.538788,3141
1490142709,-28.6469,153.538321,3146
1490142710,-28.646651,153.537805,3152
1490142711,-28.646373,153.537242,3156
1490142712,-28.646142,153.536788,3161
1490142713,-28.645855,153.536232,3165
1490142714,-28.645585,153.535732,3169
1490142715,-28.645308,153.535235,3172
1490142716,-28.64505,153.534797,3176
1490142717,-28.644746,153.534318,3181
1490142718,-28.644427,153.533856,3185
1490142719,-28.644115,153.53345,3189
1490142720,-28.643757,153.533013,3194
1490142721,-28.64342,153.532628,3198
1490142721,-28.64342,153.532628,3198
1490142721,-28.64342,153.532628,3198
1490142721,-28.64342,153.532628,3199
1490142721,-28.64342,153.532628,3200
1490142721,-28.64342,153.532628,3200
1490142722,-28.643064,153.532264,3201
1490142722,-28.643025,153.532224,3202
1490142722,-28.642987,153.532185,3202
1490142722,-28.642947,153.532146,3203
1490142722,-28.642908,153.532106,3203
1490142722,-28.642867,153.532068,3204
1490142722,-28.642827,153.532031,3204
1490142722,-28.642788,153.531995,3204
1490142722,-28.642748,153.531958,3205
1490142723,-28.642707,153.531921,3205
1490142723,-28.642665,153.531884,3206
1490142723,-28.642624,153.531849,3206
1490142723,-28.642583,153.531813,3207
1490142723,-28.642542,153.531779,3207
1490142723,-28.642501,153.531743,3207
1490142723,-28.642501,153.531743,3208
1490142723,-28.642418,153.53167,3209
1490142723,-28.642418,153.53167,3209
1490142723,-28.642335,153.531598,3210
1490142724,-28.642294,153.531562,3210
1490142724,-28.642253,153.531526,3211
1490142724,-28.642212,153.531491,3211
1490142724,-28.642171,153.531456,3212
1490142724,-28.64213,153.531421,3212
1490142724,-28.642089,153.531387,3213
1490142724,-28.642045,153.531352,3213
1490142724,-28.642002,153.531316,3214
1490142724,-28.642002,153.531316,3215
1490142725,-28.641871,153.531213,3215
1490142725,-28.641871,153.531213,3216
1490142725,-28.641871,153.531213,3216
1490142725,-28.641781,153.531151,3216
1490142725,-28.641691,153.531089,3217
1490142725,-28.641691,153.531089,3217
1490142725,-28.641602,153.531026,3218
1490142725,-28.641558,153.530995,3218
1490142725,-28.641513,153.530963,3219
1490142725,-28.641468,153.530932,3220
1490142726,-28.641424,153.530901,3221
1490142726,-28.641378,153.53087,3221
1490142726,-28.641333,153.530839,3221
1490142726,-28.641288,153.530809,3222
1490142726,-28.641242,153.530778,3222
1490142726,-28.641242,153.530778,3222
