time,lat,lon,altM
1490142101,-28.589126,153.555248,103
1490142102,-28.589126,153.555248,99
1490142103,-28.589126,153.555248,102
1490142104,-28.589126,153.555248,106
1490142105,-28.589126,153.555248,109
1490142106,-28.589126,153.555248,113
1490142107,-28.589126,153.555248,118
1490142108,-28.589126,153.555248,124
1490142109,-28.589126,153.555248,130
1490142110,-28.589126,153.555248,134
1490142111,-28.589126,153.555248,142
1490142112,-28.589126,153.555248,145
1490142113,-28.589126,153.555248,150
1490142114,-28.589126,153.555248,157
1490142115,-28.589126,153.555248,163
1490142116,-28.589126,153.555248,168
1490142117,-28.589126,153.555248,173
1490142118,-28.589126,153.555248,179
1490142119,-28.589126,153.555248,185
1490142120,-28.589126,153.555248,190
1490142121,-28.589126,153.555248,196
1490142122,-28.589126,153.555248,202
1490142123,-28.589126,153.555248,204
1490142124,-28.589126,153.555248,210
1490142125,-28.589126,153.555248,215
1490142126,-28.589126,153.555248,219
1490142127,-28.589126,153.555248,225
1490142128,-28.589126,153.555248,229
1490142129,-28.589126,153.555248,235
1490142130,-28.589126,153.555248,242
1490142131,-28.589126,153.555248,249
1490142132,-28.589126,153.555248,256
1490142133,-28.589126,153.555248,263
1490142134,-28.589126,153.555248,271
1490142135,-28.589126,153.555248,278
1490142136,-28.589126,153.555248,286
1490142137,-28.589126,153.555248,292
1490142138,-28.589126,153.555248,299
1490142139,-28.589126,153.555248,306
1490142140,-28.589126,153.555248,311
1490142141,-28.589126,153.555248,319
1490142142,-28.589126,153.555248,327
1490142143,-28.589126,153.555248,332
1490142144,-28.589126,153.555248,338
1490142145,-28.589126,153.555248,345
1490142146,-28.589126,153.555248,351
1490142147,-28.589126,153.555248,358
1490142148,-28.589126,153.555248,364
1490142149,-28.589126,153.555248,370
1490142150,-28.589126,153.555248,376
1490142151,-28.589126,153.555248,382
1490142152,-28.589126,153.555248,388
1490142153,-28.589126,153.555248,393
1490142154,-28.589126,153.555248,399
1490142155,-28.589126,153.555248,405
1490142156,-28.589126,153.555248,411
1490142157,-28.589126,153.555248,416
1490142158,-28.589126,153.555248,420
1490142159,-28.589126,153.555248,425
1490142160,-28.589126,153.555248,431
1490142161,-28.589126,153.555248,435
1490142162,-28.589126,153.555248,440
1490142163,-28.589126,153.555248,445
1490142164,-28.589126,153.555248,450
1490142165,-28.589126,153.555248,455
1490142166,-28.589126,153.555248,461
1490142167,-28.589126,153.555248,467
1490142168,-28.589126,153.555248,472
1490142169,-28.589126,153.555248,477
1490142170,-28.589126,153.555248,481
1490142171,-28.589126,153.555248,489
1490142172,-28.589126,153.555248,493
1490142173,-28.589126,153.555248,499
1490142174,-28.589126,153.555248,505
1490142175,-28.589126,153.555248,511
1490142176,-28.589126,153.555248,517
1490142177,-28.589126,153.555248,522
1490142178,-28.589126,153.555248,528
1490142179,-28.589126,153.555248,534
1490142180,-28.589126,153.555248,540
